actual,predicted,residual
144000.0,108923.44965681787,-35076.55034318213
197000.0,180540.2095105398,-16459.790489460196
75000.0,91757.39825331802,16757.398253318024
52000.0,47598.31159540115,-4401.688404598848
85000.0,94837.97984401677,9837.979844016765
115000.0,76918.72909681337,-38081.270903186625
70000.0,66317.34693005538,-3682.6530699446157
75000.0,88972.58968108385,13972.589681083846
147000.0,103544.07820069525,-43455.92179930475
195000.0,183195.82429614625,-11804.175703853747
112000.0,107019.32433388721,-4980.675666112787
112500.0,109828.1078434414,-2671.892156558606
75000.0,76843.56004500088,1843.5600450008787
95000.0,96450.71520752262,1450.7152075226186
70000.0,66940.64118756182,-3059.3588124381786
134500.0,144757.62451159503,10257.62451159503
80000.0,92352.27778011531,12352.277780115313
63000.0,61713.37775317962,-1286.6222468203778
78000.0,89718.21192272892,11718.211922728922
50000.0,68003.65072879201,18003.65072879201
100000.0,103657.45096412188,3657.4509641218756
74000.0,85186.34460231886,11186.344602318859
146000.0,118702.10851871848,-27297.89148128152
137000.0,154151.93115897034,17151.931158970343
156000.0,168068.62340785607,12068.623407856066
85000.0,78022.54121684635,-6977.458783153648
94000.0,125313.92631456813,31313.926314568133
85000.0,88389.32671402216,3389.326714022158
79000.0,97921.41093595054,18921.41093595054
106000.0,92532.02364876286,-13467.976351237143
75000.0,72632.74056040686,-2367.2594395931374
69000.0,83942.70866580922,14942.708665809216
127000.0,106041.22917133333,-20958.770828666675
73000.0,89652.04373221031,16652.04373221031
73000.0,78679.5014721003,5679.501472100295
71000.0,70029.08883475793,-970.9111652420688
81000.0,104445.68374871279,23445.683748712792
56000.0,58583.6770083144,2583.6770083144
120000.0,116668.63504756696,-3331.3649524330394
106000.0,92922.91560474182,-13077.084395258178
60000.0,68998.65500120359,8998.655001203588
59000.0,58923.56103502485,-76.43896497514652
65000.0,67273.56098524685,2273.560985246848
