url,title,address,rent,management_fee,deposit,key_money,floor,floor_plan,area,building_age,building_size,nearest_station,distance_to_nearest_station,avg_distance_to_stations,avg_rent_by_station,avg_rent_by_floor_plan,count_listings_per_station,count_listings_per_floor_plan,anomaly_label,anomaly_score
https://suumo.jp/chintai/jnc_000106139919/?bc=100499175357,ルネサンスコート高田馬場Patria,東京都新宿区高田馬場３,183000.0,10000.0,,,4,1LDK,36.01,3,4,高田馬場駅,7,11.00,151619.57,170377.07,276,811,1,0.11714411653218898
https://suumo.jp/chintai/jnc_000105562569/?bc=100504815593,STバード,東京都新宿区高田馬場３,60000.0,1000.0,60000.0,,2,1R,14.04,36,2,高田馬場駅,8,11.67,151619.57,82826.39,276,879,1,0.07758243378732377
https://suumo.jp/chintai/jnc_000105222852/?bc=100492922689,グランハイツ高田馬場,東京都新宿区高田馬場３,159000.0,15000.0,159000.0,159000.0,5,1DK,32.77,17,15,高田馬場駅,4,9.67,151619.57,130743.78,276,402,1,0.10807835982246816
https://suumo.jp/chintai/jnc_000106881750/?bc=100505257111,リヴアンフルール,東京都新宿区下落合１,152000.0,10000.0,152000.0,152000.0,2,1DK,28.57,0,7,高田馬場駅,8,11.67,151619.57,130743.78,276,402,1,0.14805551489494578
https://suumo.jp/chintai/jnc_000106432692/?bc=100488574541,ＪＲ山手線 高田馬場駅 6階建 築18年,東京都新宿区高田馬場３,125000.0,10000.0,,125000.0,6,1R,30.25,18,6,高田馬場駅,7,11.67,151619.57,82826.39,276,879,1,0.07779016099282493
https://suumo.jp/chintai/jnc_000107194348/?bc=100506816240,ＪＲ山手線 高田馬場駅 5階建 築43年,東京都新宿区下落合１,70000.0,3000.0,70000.0,,1,1R,15.55,43,5,高田馬場駅,3,8.67,151619.57,82826.39,276,879,1,0.06584417967775108
https://suumo.jp/chintai/jnc_000107221959/?bc=100507042527,ミュプレ高田馬場,東京都豊島区高田３,146000.0,10000.0,146000.0,146000.0,6,1K,25.6,4,12,高田馬場駅,5,10.67,151619.57,98445.68,276,1447,1,0.0918217385840096
https://suumo.jp/chintai/jnc_000107182831/?bc=100506733096,ＪＲ山手線 高田馬場駅 10階建 築7年,東京都新宿区高田馬場３,153000.0,12000.0,,153000.0,9,1K,26.47,7,10,高田馬場駅,3,5.67,151619.57,98445.68,276,1447,1,0.050187544369827364
https://suumo.jp/chintai/jnc_000106924758/?bc=100505052453,ＪＲ山手線 高田馬場駅 5階建 築56年,東京都新宿区高田馬場３,140000.0,5000.0,140000.0,70000.0,1,1LDK,37.91,56,5,高田馬場駅,6,7.00,151619.57,170377.07,276,811,1,0.06629904502192457
https://suumo.jp/chintai/jnc_000106228146/?bc=100499851644,ジャスミン高田馬場,東京都新宿区高田馬場３,73000.0,5000.0,,,3,1R,16.56,45,3,高田馬場駅,6,14.00,151619.57,82826.39,276,879,1,0.08422582943446877
https://suumo.jp/chintai/jnc_000103454070/?bc=100483946280,ＪＲ山手線 高田馬場駅 10階建 築7年,東京都新宿区高田馬場３,146000.0,12000.0,,146000.0,3,1K,26.47,7,10,高田馬場駅,3,5.67,151619.57,98445.68,276,1447,1,0.09107985543459579
https://suumo.jp/chintai/jnc_000105191277/?bc=100491945388,タワーズ高田馬場,東京都新宿区下落合２,72000.0,6000.0,72000.0,72000.0,4,1R,17.0,25,4,高田馬場駅,6,7.33,151619.57,82826.39,276,879,1,0.09547722880289744
https://suumo.jp/chintai/jnc_000105103269/?bc=100480372629,ＪＲ山手線 高田馬場駅 4階建 新築,東京都新宿区高田馬場４,162000.0,8000.0,,162000.0,3,1LDK,30.09,0,4,高田馬場駅,10,11.00,151619.57,170377.07,276,811,1,0.1119647854255213
https://suumo.jp/chintai/jnc_000107003810/?bc=100505682634,ＪＲ山手線 高田馬場駅 5階建 築40年,東京都新宿区高田馬場４,68000.0,6500.0,68000.0,68000.0,4,1R,19.23,40,5,高田馬場駅,2,7.33,151619.57,82826.39,276,879,1,0.07539489803647609
https://suumo.jp/chintai/jnc_000107087711/?bc=100506278130,セジョリ高田馬場,東京都新宿区高田馬場４,115000.0,12000.0,115000.0,115000.0,3,1K,25.5,14,6,高田馬場駅,6,11.33,151619.57,98445.68,276,1447,1,0.14196998223688762
https://suumo.jp/chintai/jnc_000105872888/?bc=100498680564,パークシティ高田馬場,東京都新宿区高田馬場４,470000.0,20000.0,470000.0,470000.0,2,3LDK,66.34,2,14,高田馬場駅,7,11.33,151619.57,281205.13,276,156,-1,-0.0461749480298419
https://suumo.jp/chintai/jnc_000106172713/?bc=100499800177,リヴアンフルール,東京都新宿区下落合１,149000.0,10000.0,149000.0,149000.0,1,1DK,28.57,0,7,高田馬場駅,8,11.67,151619.57,130743.78,276,402,1,0.1442524699459894
https://suumo.jp/chintai/jnc_000106508889/?bc=100502111416,GRAN PASEO高田馬場,東京都豊島区高田３,148000.0,15000.0,,148000.0,5,1K,26.96,7,7,高田馬場駅,7,10.67,151619.57,98445.68,276,1447,1,0.12301920763512136
https://suumo.jp/chintai/jnc_000105792622/?bc=100501499412,GRAN PASEO高田馬場,東京都豊島区高田３,148000.0,15000.0,,148000.0,5,1K,26.32,7,7,高田馬場駅,7,10.67,151619.57,98445.68,276,1447,1,0.12301920763512136
https://suumo.jp/chintai/jnc_000105103259/?bc=100474121151,グローリオシェルト高田馬場,東京都新宿区高田馬場４,162000.0,8000.0,,162000.0,3,1LDK,30.09,0,4,高田馬場駅,10,11.00,151619.57,170377.07,276,811,1,0.1119647854255213
https://suumo.jp/chintai/jnc_000106508888/?bc=100502111386,GRAN PASEO高田馬場,東京都豊島区高田３,144000.0,15000.0,,144000.0,4,1K,26.96,7,7,高田馬場駅,7,10.67,151619.57,98445.68,276,1447,1,0.1284596859817963
