title,address,building_age,building_size,stations,nearest_station,distance_to_nearest_station,avg_distance_to_stations,url,rent,management_fee,deposit,key_money,floor,floor_plan,area
プライムアーバン中野上高田,東京都中野区上高田４,築18年,3階建,"西武新宿線/新井薬師前駅 歩5分,西武新宿線/中井駅 歩16分,東京メトロ東西線/落合駅 歩17分",新井薬師前駅,5,12.6666666666667,https://suumo.jp/chintai/jnc_000104202916/?bc=100479413325,16.9万円,7000円,16.9万円,8.45万円,3階,1LDK,40.74m2
プライムアーバン中野上高田,東京都中野区上高田４,築18年,3階建,"西武新宿線/新井薬師前駅 歩5分,西武新宿線/中井駅 歩16分,東京メトロ東西線/落合駅 歩17分",新井薬師前駅,5,12.6666666666667,https://suumo.jp/chintai/jnc_000103492425/?bc=100475586484,17.3万円,7000円,17.3万円,8.65万円,3階,1LDK,40.74m2
東京メトロ東西線 落合駅 5階建 築3年,東京都中野区東中野５,築3年,5階建,"東京メトロ東西線/落合駅 歩7分,ＪＲ総武線/東中野駅 歩10分,都営大江戸線/中井駅 歩16分",落合駅,7,11.0,https://suumo.jp/chintai/jnc_000102118144/?bc=100484207151,12.9万円,15000円,12.9万円,12.9万円,4階,ワンルーム,25.5m2
東京メトロ東西線 落合駅 5階建 築3年,東京都中野区東中野５,築3年,5階建,"東京メトロ東西線/落合駅 歩7分,ＪＲ総武線/東中野駅 歩10分,都営大江戸線/中井駅 歩16分",落合駅,7,11.0,https://suumo.jp/chintai/jnc_000104126160/?bc=100482450590,13万円,15000円,13万円,13万円,1階,1K,25.5m2
東京メトロ東西線 落合駅 5階建 築3年,東京都中野区東中野５,築3年,5階建,"東京メトロ東西線/落合駅 歩7分,ＪＲ総武線/東中野駅 歩10分,都営大江戸線/中井駅 歩16分",落合駅,7,11.0,https://suumo.jp/chintai/jnc_000102109244/?bc=100484207148,13.8万円,15000円,13.8万円,13.8万円,1階,2K,25.98m2
東京メトロ東西線 落合駅 5階建 築3年,東京都中野区東中野５,築3年,5階建,"東京メトロ東西線/落合駅 歩7分,ＪＲ総武線/東中野駅 歩10分,都営大江戸線/中井駅 歩16分",落合駅,7,11.0,https://suumo.jp/chintai/jnc_000100852545/?bc=100484207149,14万円,15000円,14万円,14万円,2階,1DK,27.91m2
東京メトロ東西線 落合駅 5階建 築3年,東京都中野区東中野５,築3年,5階建,"東京メトロ東西線/落合駅 歩7分,ＪＲ総武線/東中野駅 歩10分,都営大江戸線/中井駅 歩16分",落合駅,7,11.0,https://suumo.jp/chintai/jnc_000103032338/?bc=100484207167,14万円,15000円,14万円,14万円,2階,1DK,25.98m2
東京メトロ東西線 落合駅 5階建 築3年,東京都中野区東中野５,築3年,5階建,"東京メトロ東西線/落合駅 歩7分,ＪＲ総武線/東中野駅 歩10分,都営大江戸線/中井駅 歩16分",落合駅,7,11.0,https://suumo.jp/chintai/jnc_000103324587/?bc=100485411220,14万円,15000円,14万円,14万円,3階,2K,25.5m2
東京メトロ東西線 落合駅 5階建 築3年,東京都中野区東中野５,築3年,5階建,"東京メトロ東西線/落合駅 歩7分,ＪＲ総武線/東中野駅 歩10分,都営大江戸線/中井駅 歩16分",落合駅,7,11.0,https://suumo.jp/chintai/jnc_000103625946/?bc=100481910857,14.05万円,15000円,14.05万円,14.05万円,3階,1DK,26.32m2
東京メトロ東西線 落合駅 5階建 築3年,東京都中野区東中野５,築3年,5階建,"東京メトロ東西線/落合駅 歩7分,ＪＲ総武線/東中野駅 歩10分,都営大江戸線/中井駅 歩16分",落合駅,7,11.0,https://suumo.jp/chintai/jnc_000104387667/?bc=100485272872,14.2万円,15000円,14.2万円,14.2万円,1階,1K,28.87m2
東京メトロ東西線 落合駅 5階建 築3年,東京都中野区東中野５,築3年,5階建,"東京メトロ東西線/落合駅 歩7分,ＪＲ総武線/東中野駅 歩10分,都営大江戸線/中井駅 歩16分",落合駅,7,11.0,https://suumo.jp/chintai/jnc_000103625945/?bc=100479322274,14.4万円,15000円,14.4万円,14.4万円,1階,1K,31.35m2
東京メトロ東西線 落合駅 5階建 築3年,東京都中野区東中野５,築3年,5階建,"東京メトロ東西線/落合駅 歩7分,ＪＲ総武線/東中野駅 歩10分,都営大江戸線/中井駅 歩16分",落合駅,7,11.0,https://suumo.jp/chintai/jnc_000103762850/?bc=100480359421,14.5万円,15000円,14.5万円,14.5万円,3階,1K,28.87m2
西落合３丁目戸建,東京都新宿区西落合３,築27年,2階建,"都営大江戸線/落合南長崎駅 歩3分,西武池袋線/東長崎駅 歩12分,西武新宿線/中井駅 歩16分",落合南長崎駅,3,10.3333333333333,https://suumo.jp/chintai/jnc_000104214968/?bc=100483936383,18.8万円,-,18.8万円,18.8万円,-,3LDK,63.09m2
西落合３丁目戸建,東京都新宿区西落合３,築27年,2階建,"都営大江戸線/落合南長崎駅 歩3分,西武池袋線/東長崎駅 歩12分,西武新宿線/中井駅 歩16分",落合南長崎駅,3,10.3333333333333,https://suumo.jp/chintai/jnc_000103367992/?bc=100483962511,18.8万円,-,18.8万円,18.8万円,2階,3LDK,63.09m2
西武新宿線 中井駅 2階建 築17年,東京都新宿区中井２,築17年,2階建,"西武新宿線/中井駅 歩6分,都営大江戸線/落合南長崎駅 歩9分,東京メトロ東西線/落合駅 歩13分",中井駅,6,9.33333333333333,https://suumo.jp/chintai/jnc_000103222874/?bc=100485738481,8.6万円,3000円,4.3万円,12.9万円,1階,1K,22.79m2
都営大江戸線 落合南長崎駅 5階建 築6年,東京都新宿区中落合３,築6年,5階建,"都営大江戸線/落合南長崎駅 歩10分,西武新宿線/中井駅 歩12分,西武池袋線/椎名町駅 歩11分",落合南長崎駅,10,11.0,https://suumo.jp/chintai/jnc_000103815328/?bc=100483177428,12.1万円,15000円,-,-,1階,2K,25.72m2
都営大江戸線 落合南長崎駅 5階建 築6年,東京都新宿区中落合３,築6年,5階建,"都営大江戸線/落合南長崎駅 歩10分,西武新宿線/中井駅 歩12分,西武池袋線/椎名町駅 歩11分",落合南長崎駅,10,11.0,https://suumo.jp/chintai/jnc_000103809137/?bc=100480917232,12.3万円,15000円,-,-,4階,1DK,25.51m2
都営大江戸線 落合南長崎駅 5階建 築6年,東京都新宿区中落合３,築6年,5階建,"都営大江戸線/落合南長崎駅 歩10分,西武新宿線/中井駅 歩12分,西武池袋線/椎名町駅 歩11分",落合南長崎駅,10,11.0,https://suumo.jp/chintai/jnc_000104425546/?bc=100485529449,12.5万円,15000円,-,-,5階,1K,25.51m2
都営大江戸線 落合南長崎駅 5階建 築6年,東京都新宿区中落合３,築6年,5階建,"都営大江戸線/落合南長崎駅 歩10分,西武新宿線/中井駅 歩12分,西武池袋線/椎名町駅 歩11分",落合南長崎駅,10,11.0,https://suumo.jp/chintai/jnc_000103373134/?bc=100482278078,12.5万円,15000円,-,-,5階,2K,25.51m2
ルーブル新宿西落合参番館,東京都新宿区西落合１,築22年,5階建,"都営大江戸線/落合南長崎駅 歩7分,西武新宿線/中井駅 歩7分,都営大江戸線/中井駅 歩12分",落合南長崎駅,7,8.66666666666667,https://suumo.jp/chintai/jnc_000103727192/?bc=100476278830,9万円,10000円,-,9万円,4階,1K,20.25m2
シプレ新宿中落合,東京都新宿区中落合２,築2年,4階建,"西武新宿線/下落合駅 歩5分,都営大江戸線/中井駅 歩8分,東京メトロ東西線/落合駅 歩15分",下落合駅,5,9.33333333333333,https://suumo.jp/chintai/jnc_000101605831/?bc=100478743563,10万円,15000円,10万円,-,1階,1K,19.72m2
シプレ新宿中落合,東京都新宿区中落合２,築2年,4階建,"西武新宿線/下落合駅 歩5分,都営大江戸線/中井駅 歩8分,東京メトロ東西線/落合駅 歩15分",下落合駅,5,9.33333333333333,https://suumo.jp/chintai/jnc_000104015693/?bc=100482195422,10.2万円,15000円,10.2万円,-,1階,1K,19.72m2
メインステージ新宿中井,東京都新宿区中井２,築9年,4階建,"西武新宿線/中井駅 歩6分,東京メトロ東西線/落合駅 歩12分,ＪＲ中央線/東中野駅 歩19分",中井駅,6,12.3333333333333,https://suumo.jp/chintai/jnc_000101512509/?bc=100465191078,10.5万円,15000円,-,10.5万円,3階,1K,25.65m2
メインステージ新宿中井,東京都新宿区中井２,築9年,4階建,"西武新宿線/中井駅 歩6分,東京メトロ東西線/落合駅 歩12分,ＪＲ中央線/東中野駅 歩19分",中井駅,6,12.3333333333333,https://suumo.jp/chintai/jnc_000104482297/?bc=100485975266,11万円,15000円,-,11万円,4階,1K,25.65m2
西武新宿線 下落合駅 9階建 築21年,東京都新宿区上落合２,築21年,9階建,"西武新宿線/下落合駅 歩6分,西武新宿線/中井駅 歩6分,東京メトロ東西線/落合駅 歩11分",下落合駅,6,7.66666666666667,https://suumo.jp/chintai/jnc_000104491570/?bc=100486051704,9万円,5000円,-,9万円,7階,1K,19.73m2
西武新宿線 中井駅 3階建 築4年,東京都新宿区上落合２,築4年,3階建,"西武新宿線/中井駅 歩4分,都営大江戸線/中井駅 歩4分,西武新宿線/下落合駅 歩8分",中井駅,4,5.33333333333333,https://suumo.jp/chintai/jnc_000104081718/?bc=100482920275,31万円,-,31万円,31万円,-,3LDK,72.55m2
西武新宿線 中井駅 地上3階建 築10年,東京都新宿区中落合４,築10年,地上3階建,"西武新宿線/中井駅 歩8分,都営大江戸線/落合南長崎駅 歩10分,東京メトロ東西線/落合駅 歩17分",中井駅,8,11.6666666666667,https://suumo.jp/chintai/jnc_000098026966/?bc=100483859922,27.8万円,-,27.8万円,27.8万円,1-3階,3LDK,67.95m2
都営大江戸線 落合南長崎駅 5階建 築5年,東京都新宿区西落合２,築5年,5階建,"都営大江戸線/落合南長崎駅 歩12分,西武新宿線/新井薬師前駅 歩12分,西武池袋線/東長崎駅 歩18分",落合南長崎駅,12,14.0,https://suumo.jp/chintai/jnc_000103908831/?bc=100481562451,11万円,13000円,11万円,11万円,2階,1DK,25.79m2
西武新宿線 下落合駅 5階建 築2年,東京都新宿区上落合２,築2年,5階建,"西武新宿線/下落合駅 歩5分,都営大江戸線/中井駅 歩6分,東京メトロ東西線/落合駅 歩12分",下落合駅,5,7.66666666666667,https://suumo.jp/chintai/jnc_000103625542/?bc=100479084345,12.7万円,18000円,-,-,2階,1K,26.42m2
デュオステージ中落合,東京都新宿区中落合１,築8年,4階建,"西武新宿線/中井駅 歩5分,都営大江戸線/中井駅 歩7分,東京メトロ東西線/落合駅 歩10分",中井駅,5,7.33333333333333,https://suumo.jp/chintai/jnc_000103268898/?bc=100476571844,13.5万円,10000円,-,13.5万円,3階,1K,30.69m2
